"om_r","awc_r","wsatiated_r","kwfact","ph1to1h2o_r","compname","slope_r","runoff","tfact","elev_r","geomdesc","ffd_r","nirrcapcl","nirrcapscl","irrcapcl","irrcapscl","mukey","musym","muname","drainagecl","aws025wta"
1.25,0.14,30,0.24,4.50,"Cid",3,"Low",2,120,"interfluves, uplands, urban land",215,2,"e",,,115343,"CnB","Cid-Urban land complex, 1 to 5 percent slopes","Moderately well drained",3.52
2,0.10,44,0.17,4.60,"Colfax",2,"Very high",4,244,"depressions, uplands",215,3,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Somewhat poorly drained",2.57
2,0.17,41,0.37,5.00,"Worsham",2,"Medium",5,244,"depressions, uplands",215,5,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Poorly drained",2.57
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,244,"depressions on flood plains, valleys",215,6,"w",,,115344,"CoA","Colfax sandy loam, 0 to 3 percent slopes","Poorly drained",2.57
1.25,0.12,34,0.28,5.00,"Creedmoor",5,"High",5,244,"interfluves, uplands",215,2,"e",,,115345,"CrB","Creedmoor loam, 2 to 8 percent slopes","Moderately well drained",3.05
1.25,0.14,37,0.17,5.30,"Mayodan",5,"Low",5,244,"interfluves, uplands",215,2,"e",,,115345,"CrB","Creedmoor loam, 2 to 8 percent slopes","Well drained",3.05
0.25,0.16,44,0.37,5.90,"Georgeville",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,2440218,"GfB2","Georgeville silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.99
1,0.15,41,0.28,5.00,"Tarrus",5,"Medium",4,244,"interfluves, uplands",215,2,"e",,,2440218,"GfB2","Georgeville silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.99
1.25,0.12,17,0.1,4.50,"Goldston",30,"High",2,120,"hillslopes on ridges, uplands",215,7,"s",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
1.25,0.18,46,0.37,5.00,"Tarrus",30,"High",4,120,"hillslopes on ridges, uplands",215,6,"e",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
2,0.17,27,0.17,4.50,"Badin",30,"High",3,120,"hillslopes on ridges, uplands",215,6,"e",,,115354,"GsE","Goldston-Badin complex, 15 to 45 percent slopes","Well drained",3.40
1.25,0.12,21,0.15,4.50,"Goldston",5,"Medium",2,120,"interfluves, uplands",215,4,"s",,,115352,"GsB","Goldston-Badin complex, 2 to 8 percent slopes","Well drained",3.46
2,0.17,28,0.2,4.50,"Badin",6,"Medium",3,120,"hillslopes on ridges, uplands",215,2,"e",,,115352,"GsB","Goldston-Badin complex, 2 to 8 percent slopes","Well drained",3.46
1.25,0.12,17,0.1,4.50,"Goldston",12,"Medium",2,120,"hillslopes on ridges, uplands",215,4,"s",,,115353,"GsC","Goldston-Badin complex, 8 to 15 percent slopes","Well drained",3.35
2,0.17,27,0.17,4.50,"Badin",12,"Medium",3,120,"hillslopes on ridges, uplands",215,3,"e",,,115353,"GsC","Goldston-Badin complex, 8 to 15 percent slopes","Well drained",3.35
1.25,0.11,34,0.32,4.50,"Helena",5,"Medium",5,244,"ridges, uplands",215,2,"e",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Moderately well drained",2.94
2,0.17,41,0.37,5.00,"Worsham",2,"Medium",5,244,"depressions, uplands",215,5,"w",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Poorly drained",2.94
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,244,"depressions on flood plains, valleys",215,6,"w",,,115355,"HeB","Helena fine sandy loam, 2 to 8 percent slopes","Poorly drained",2.94
1.25,0.16,46,0.32,6.20,"Iredell",1,"Very high",5,244,"interfluves, uplands",215,2,"w",,,115356,"IrA","Iredell loam, 0 to 3 percent slopes","Moderately well drained",4.30
2.5,0.20,42,0.37,6.50,"Armenia",1,"Very high",5,244,"drainageways on interfluves, uplands",215,6,"w",,,115356,"IrA","Iredell loam, 0 to 3 percent slopes","Poorly drained",4.30
1.25,0.13,35,0.24,5.80,"Enon",5,"Medium",3,244,"interfluves, uplands",215,2,"e",,,2440238,"MeB2","Mecklenburg sandy clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.26
1.25,0.14,41,0.28,6.40,"Lloyd",4,"Low",5,244,"interfluves, uplands",215,2,"e",,,2440238,"MeB2","Mecklenburg sandy clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.26
0.75,0.13,37,0.28,6.50,"Mecklenburg",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,2440238,"MeB2","Mecklenburg sandy clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.26
0.75,0.12,42,0.17,6.20,"Pacolet",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,2440238,"MeB2","Mecklenburg sandy clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.26
1,0.15,29,0.2,4.50,"Misenheimer",2,"Very high",2,120,"interfluves, uplands",215,3,"w",,,115358,"MhA","Misenheimer-Cid complex, 0 to 3 percent slopes","Moderately well drained",3.68
1.25,0.14,30,0.24,4.50,"Cid",2,"Low",2,120,"interfluves, uplands",215,2,"w",,,115358,"MhA","Misenheimer-Cid complex, 0 to 3 percent slopes","Moderately well drained",3.68
1.25,0.20,44,0.49,5.50,"Secrest",2,"Low",4,120,"interfluves, uplands",215,2,"w",,,115361,"ScA","Secrest-Cid complex, 0 to 3 percent slopes","Moderately well drained",4.63
1.25,0.14,30,0.24,4.50,"Cid",2,"Low",2,120,"interfluves, uplands",215,2,"w",,,115361,"ScA","Secrest-Cid complex, 0 to 3 percent slopes","Moderately well drained",4.63
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,120,"depressions on flood plains, valleys",215,6,"w",,,115361,"ScA","Secrest-Cid complex, 0 to 3 percent slopes","Poorly drained",4.63
1.25,0.10,33,0.15,5.50,"Tarrus",5,"Medium",4,244,"interfluves, uplands",215,2,"e",,,2440249,"TbB2","Tarrus gravelly silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",2.50
1.25,0.10,33,0.15,5.50,"Tarrus",12,"Medium",4,244,"hillslopes on ridges, uplands",215,3,"e",,,2440250,"TbC2","Tarrus gravelly silty clay loam, 8 to 15 percent slopes, moderately eroded","Well drained",2.50
1.25,0.14,36,0.2,5.00,"Tarrus",5,"Medium",4,244,"interfluves, uplands",215,2,"e",,,2440251,"TuB","Tarrus-Urban land complex, 2 to 8 percent slopes","Well drained",3.22
1.25,0.15,39,0.43,5.00,"White Store",5,"Very high",4,244,"interfluves, uplands",215,2,"e",,,115370,"WhB","White Store loam, 2 to 8 percent slopes","Moderately well drained",3.85
1.25,0.15,39,0.43,5.00,"White Store",12,"Very high",4,244,"hillslopes on ridges, uplands",215,3,"e",,,115371,"WhC","White Store loam, 8 to 15 percent slopes","Moderately well drained",3.85
1.25,0.14,42,0.24,5.50,"Tarrus",5,"Medium",4,120,"interfluves, uplands",215,2,"e",,,2440243,"TaB","Tarrus gravelly silt loam, 2 to 8 percent slopes","Well drained",3.74
0.75,0.12,41,0.28,5.50,"Pacolet",10,"Medium",4,244,"hillslopes on ridges, uplands",215,7,"e",,,115360,"PgC","Pacolet-Gullied land complex, 4 to 15 percent slopes","Well drained",3.30
1.25,0.14,41,0.28,6.40,"Lloyd",4,"Low",5,244,"interfluves, uplands",215,2,"e",,,2424542,"LdB2","Lloyd clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.50
1.25,0.14,41,0.28,6.40,"Lloyd",12,"Medium",5,244,"hillslopes, uplands",215,3,"e",,,2424543,"LdC2","Lloyd clay loam, 8 to 15 percent slopes, moderately eroded","Well drained",3.50
1.25,0.15,36,0.2,5.50,"Wynott",5,"Medium",3,244,"interfluves, uplands",215,2,"e",,,2425180,"WyB","Wynott gravelly loam, 2 to 8 percent slopes","Well drained",3.80
1.25,0.15,36,0.2,5.50,"Wynott",12,"High",3,244,"interfluves, uplands",215,3,"e",,,2425181,"WyC","Wynott gravelly loam, 8 to 15 percent slopes","Well drained",3.80
0.75,0.12,42,0.17,6.20,"Pacolet",25,"High",5,244,"hillslopes on ridges, uplands",215,6,"e",,,2440239,"PaE2","Pacolet sandy clay loam, 15 to 40 percent slopes, moderately eroded","Well drained",3.14
1.25,0.14,42,0.24,5.50,"Tarrus",12,"Medium",4,120,"interfluves, uplands",215,3,"e",,,2440244,"TaC","Tarrus gravelly silt loam, 8 to 15 percent slopes","Well drained",3.74
1.25,0.14,42,0.24,5.50,"Tarrus",25,"High",4,120,"interfluves, uplands",215,6,"e",,,2440245,"TaD","Tarrus gravelly silt loam, 15 to 35 percent slopes","Well drained",3.74
1.25,0.13,27,0.2,4.50,"Goldston",5,"Medium",2,213.3999939,"interfluves, uplands",230,4,"s",,,115333,"BaB","Badin channery silt loam, 2 to 8 percent slopes","Well drained",4.14
2,0.17,28,0.17,5.00,"Badin",5,"Medium",3,213.3999939,"interfluves, uplands",230,3,"e",,,115333,"BaB","Badin channery silt loam, 2 to 8 percent slopes","Well drained",4.14
1.25,0.14,30,0.2,5.00,"Tatum",5,,3,213.3999939,"interfluves, uplands",230,2,"e",,,115333,"BaB","Badin channery silt loam, 2 to 8 percent slopes","Well drained",4.14
2,0.16,45,0.28,7.30,"Alo",6,"Very high",3,525.5,"hills, uplands",255,3,"e",3,"e",455537,"AaC","Alo silty clay, 2 to 9 percent slopes","Well drained",4.00
2,0.16,45,0.28,7.00,"Alo",12,"Very high",3,525.5,"hills, uplands",255,3,"e",,,455538,"AaD","Alo silty clay, 9 to 15 percent slopes","Well drained",4.00
2,0.16,45,0.28,7.00,"Alo",23,"Very high",3,525.5,"hills, uplands",255,6,"e",,,455539,"AaE","Alo silty clay, 15 to 30 percent slopes","Well drained",4.00
2,0.16,45,0.28,7.00,"Alo",40,"Very high",3,525.5,"hills, uplands",255,6,"e",,,455540,"AaF","Alo silty clay, 30 to 50 percent slopes","Well drained",4.00
2,0.16,45,0.28,7.00,"Alo",38,"Very high",3,525.5,"hills, uplands",255,7,"e",,,455541,"Ab","Alo-Millsholm complex","Well drained",4.30
2,0.19,38,0.24,6.50,"Millsholm",38,"Very high",1,,"hills, uplands",,7,"e",,,455541,"Ab","Alo-Millsholm complex","Well drained",4.30
0.75,0.11,46,0.37,7.50,"Alviso",1,"High",5,0,"basin floors, basin floors, tidal flats",347,8,,,,455542,"Ac","Alviso silty clay loam","Very poorly drained",2.75
0.75,0.11,46,0.37,7.50,"Alviso",1,"High",5,0,"basin floors, basin floors, tidal flats",347,6,"w",4,"w",455543,"Ad","Alviso silty clay loam, drained","Very poorly drained",2.75
1.5,0.15,38,0.37,5.60,"Antioch",1,"High",3,167.5,"alluvial fans, terraces, valleys",260,3,"s",3,"s",455544,"AeA","Antioch very fine sandy loam, 0 to 2 percent slopes","Moderately well drained",3.75
1.5,0.15,38,0.37,5.60,"Antioch",6,"High",3,167.5,"alluvial fans, terraces, valleys",260,3,"e",3,"e",455545,"AeC","Antioch very fine sandy loam, 2 to 9 percent slopes","Moderately well drained",3.75
1.5,0.15,38,0.37,5.60,"Antioch",12,"High",3,167.5,"alluvial fans, terraces, valleys",260,4,"e",4,"e",455546,"AeD","Antioch very fine sandy loam, 9 to 15 percent slopes","Moderately well drained",3.75
2.5,,,,,"Aquic Xerofluvents",3,"Very low",5,,"flood plains, river valleys",,4,"w",4,"w",455547,"Af","Aquic Xerofluvents","Somewhat poorly drained",
0.75,0.11,28,0.2,6.50,"Arbuckle",6,"High",5,318.5,"terraces, valleys",216,3,"e",2,"e",455548,"AgC","Arbuckle gravelly loam, 2 to 9 percent slopes","Well drained",2.75
0.75,0.11,28,0.2,6.50,"Arbuckle",12,"High",5,318.5,"terraces, valleys",216,4,"e",,,455549,"AgD","Arbuckle gravelly loam, 9 to 15 percent slopes","Well drained",2.75
0.75,0.07,32,0.32,6.20,"Arnold",63,"Low",4,396,"escarpments, hills, uplands",252,7,"e",,,455552,"Am","Arnold-San Andreas complex","Somewhat excessively drained",2.63
2.5,0.14,34,0.17,6.70,"San Andreas",63,"Medium",3,,"mountains, uplands",,7,"e",,,455552,"Am","Arnold-San Andreas complex","Well drained",2.63
3.5,0.13,32,0.32,6.50,"Santa Ynez",20,"Very high",3,,"terraces",,6,"e",,,455553,"Ar","Arnold-Santa Ynez complex","Moderately well drained",2.33
0.75,0.07,32,0.32,6.20,"Arnold",20,"Low",4,396,"hills, terraces, uplands",252,6,"e",,,455553,"Ar","Arnold-Santa Ynez complex","Somewhat excessively drained",2.33
2,0.08,27,0.1,7.30,"Arroyo Seco",1,"Very low",5,472.5,"alluvial fans, alluvial plains",235,4,"s",3,"s",455554,"AsA","Arroyo Seco gravelly sandy loam, 0 to 2 percent slopes","Well drained",2.00
2,0.08,27,0.1,7.30,"Arroyo Seco",4,"Very low",5,472.5,"alluvial fans, alluvial plains",235,4,"e",3,"e",455555,"AsB","Arroyo Seco gravelly sandy loam, 2 to 5 percent slopes","Well drained",2.00
2,0.08,27,0.1,7.30,"Arroyo Seco",7,"Low",5,472.5,"alluvial fans, alluvial plains",235,4,"e",3,"e",455556,"AsC","Arroyo Seco gravelly sandy loam, 5 to 9 percent slopes","Well drained",2.00
2,0.16,45,0.24,7.90,"Ayar",10,"Very high",4,556,"hills, uplands",265,3,"e",,,455559,"AyD","Ayar silty clay, 5 to 15 percent slopes","Well drained",4.00
2,0.08,27,0.17,7.30,"Arroyo Seco",1,"Very low",5,472.5,"alluvial fans, alluvial plains",235,3,"s",2,"s",455557,"AvA","Arroyo Seco gravelly loam, 0 to 2 percent slopes","Well drained",2.00
2,0.08,27,0.17,7.30,"Arroyo Seco",4,"Very low",5,472.5,"alluvial fans, alluvial plains",235,3,"e",2,"e",455558,"AvB","Arroyo Seco gravelly loam, 2 to 5 percent slopes","Well drained",2.00
,0.00,,,,"Pits",100,,,244,"quarries",215,8,"s",,,2687031,"Pt","Pits, quarry",,0.18
0.100000001,0.14,34,0.24,5.30,"Udorthents",3,,5,244,"quarries, spoil piles",215,7,"e",,,2687031,"Pt","Pits, quarry","Well drained",0.18
0.5,0.09,35,0.2,6.20,"Udorthents",8,,5,244,"interfluves on uplands on piedmonts",215,7,"e",,,115374,"DAM","Dam","Well drained",2.25
1.25,0.13,35,0.1,5.50,"Appling",5,"Medium",5,75,"interfluves, uplands",228,2,"e",,,115328,"AeB","Ailey-Appling complex, 2 to 8 percent slopes","Well drained",1.67
1.25,0.04,39,0.1,5.50,"Ailey",5,"Medium",4,75,"low hills, sandhills",228,3,"s",,,115328,"AeB","Ailey-Appling complex, 2 to 8 percent slopes","Well drained",1.67
1.25,0.13,35,0.1,5.50,"Appling",12,"Medium",5,75,"hillslopes on ridges, uplands",228,6,"s",,,115329,"AgC","Ailey-Appling complex, 8 to 15 percent slopes, bouldery","Well drained",1.99
1.25,0.04,39,0.1,5.50,"Ailey",12,"Medium",4,75,"low hills, sandhills",228,6,"s",,,115329,"AgC","Ailey-Appling complex, 8 to 15 percent slopes, bouldery","Well drained",1.99
1.25,0.13,35,0.2,5.00,"Appling",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,115330,"ApB","Appling sandy loam, 2 to 8 percent slopes","Well drained",3.25
1.25,0.11,36,0.24,5.80,"Helena",5,"Medium",3,244,"ridges, uplands",215,2,"e",,,115330,"ApB","Appling sandy loam, 2 to 8 percent slopes","Moderately well drained",3.25
1.25,0.12,33,0.24,5.30,"Vance",5,"Medium",3,244,"interfluves, uplands",215,2,"e",,,115330,"ApB","Appling sandy loam, 2 to 8 percent slopes","Well drained",3.25
1.25,0.13,35,0.2,5.00,"Appling",12,"Medium",5,244,"hillslopes on ridges, uplands",215,3,"e",,,115331,"ApC","Appling sandy loam, 8 to 15 percent slopes","Well drained",3.27
1.25,0.13,35,0.2,5.00,"Appling",6,"Medium",5,244,"hillslopes on ridges, uplands",215,3,"e",,,115332,"AuB","Appling-Urban land complex, 2 to 8 percent slopes","Well drained",3.22
1.25,0.11,36,0.24,5.80,"Helena",5,"Medium",3,244,"ridges, uplands",215,2,"e",,,115332,"AuB","Appling-Urban land complex, 2 to 8 percent slopes","Moderately well drained",3.22
1.25,0.12,33,0.24,5.30,"Vance",5,"Medium",3,244,"interfluves, uplands",215,2,"e",,,115332,"AuB","Appling-Urban land complex, 2 to 8 percent slopes","Well drained",3.22
2,0.17,28,0.2,5.00,"Badin",5,"Medium",3,120,"interfluves, uplands",215,2,"e",,,115337,"BuB","Badin-Urban land complex, 2 to 8 percent slopes","Well drained",4.25
2,0.17,28,0.2,5.00,"Badin",17,"Medium",3,120,"hillslopes on ridges, uplands",215,4,"e",,,115338,"BuC","Badin-Urban land complex, 8 to 15 percent slopes","Well drained",4.25
2,0.17,28,0.2,5.00,"Badin",12,"Medium",3,120,"hillslopes on ridges, uplands",215,3,"e",,,115334,"BaC","Badin channery silt loam, 8 to 15 percent slopes","Well drained",4.25
1.25,0.18,42,0.43,5.90,"Georgeville",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,115348,"GeB","Georgeville silt loam, 2 to 8 percent slopes","Well drained",4.25
1.25,0.17,46,0.43,5.00,"Tarrus",5,"Medium",4,244,"interfluves, uplands",215,2,"e",,,115348,"GeB","Georgeville silt loam, 2 to 8 percent slopes","Well drained",4.25
2,0.18,43,0.37,4.90,"Badin",5,"Medium",3,120,"interfluves, uplands",215,2,"e",,,115348,"GeB","Georgeville silt loam, 2 to 8 percent slopes","Well drained",4.25
1.25,0.12,21,0.15,4.50,"Goldston",10,"Medium",2,120,"hillslopes on ridges, uplands",215,4,"s",,,115350,"GoC","Goldston very channery silt loam, 4 to 15 percent slopes","Well drained",2.86
1.25,0.12,21,0.15,4.50,"Goldston",30,"High",2,120,"hillslopes on ridges, uplands",215,7,"s",,,115351,"GoE","Goldston very channery silt loam, 15 to 45 percent slopes","Well drained",2.86
0.5,0.09,35,0.2,6.20,"Udorthents",8,,5,200,"interfluves on uplands on piedmonts",215,7,"e",,,115368,"Ud","Udorthents, loamy","Well drained",2.25
1.25,0.17,39,0.32,5.00,"Badin",5,"Medium",3,120,"interfluves, uplands",215,2,"e",,,2440232,"BdB2","Badin channery silty clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",4.25
1.25,0.17,39,0.32,5.00,"Badin",12,"Medium",3,120,"hillslopes on ridges, uplands",215,3,"e",,,2440233,"BdC2","Badin channery silty clay loam, 8 to 15 percent slopes, moderately eroded","Well drained",4.25
0.75,0.13,29,0.1,5.30,"Cecil",5,"Medium",5,244,"interfluves, uplands",215,2,"e",,,2440234,"CeB2","Cecil gravelly sandy clay loam, 2 to 8 percent slopes, moderately eroded","Well drained",3.35
0.75,0.13,29,0.1,5.30,"Cecil",12,"Medium",5,244,"interfluves, uplands",215,3,"e",,,2440236,"CeC2","Cecil gravelly sandy clay loam, 8 to 15 percent slopes, moderately eroded","Well drained",3.35
2.5,0.20,40,0.37,5.50,"Chewacla",1,"Low",5,244,"flood plains, valleys",215,4,"w",,,115341,"ChA","Chewacla silt loam, 0 to 2 percent slopes, frequently flooded","Somewhat poorly drained",4.85
2.5,0.16,46,0.28,6.00,"Congaree",1,"Low",5,244,"flood plains, valleys",215,3,"w",,,115341,"ChA","Chewacla silt loam, 0 to 2 percent slopes, frequently flooded","Moderately well drained",4.85
3.5,0.13,39,0.28,5.50,"Wehadkee",1,"Low",5,244,"depressions on flood plains, valleys",215,6,"w",,,115341,"ChA","Chewacla silt loam, 0 to 2 percent slopes, frequently flooded","Poorly drained",4.85
1.25,0.14,30,0.24,4.50,"Cid",3,"Low",2,120,"interfluves, uplands",215,2,"e",,,115342,"CmB","Cid channery silt loam, 1 to 5 percent slopes","Moderately well drained",3.52
2,0.16,45,0.24,7.90,"Ayar",23,"Very high",4,556,"hills, uplands",265,4,"e",,,455560,"AyE","Ayar silty clay, 15 to 30 percent slopes","Well drained",4.00
2,0.16,45,0.24,7.90,"Ayar",40,"Very high",4,556,"hills, uplands",265,6,"e",,,455561,"AyF","Ayar silty clay, 30 to 50 percent slopes","Well drained",4.00
,,,,,"Badland",39,"Very high",,,"bluffs, drainageways, escarpments, uplands",325,8,,,,455562,"Ba","Badland",,
2.5,0.08,36,0.02,6.50,"Baywood",9,"Very low",5,125,"dune fields, dunes",300,6,"e",4,"s",455563,"BbC","Baywood sand, 2 to 15 percent slopes","Somewhat excessively drained",2.00
4.5,0.16,30,0.17,6.20,"Chamise",40,"Very high",5,244,"terraces",270,7,"e",,,455566,"CaF","Chamise shaly loam, 30 to 50 percent slopes","Well drained",4.00
2.5,0.17,40,0.32,7.00,"Chualar",1,"Low",5,312,"alluvial fans, terraces",237,3,"c",1,,455567,"CbA","Chualar loam, 0 to 2 percent slopes","Well drained",4.25
2.5,0.17,40,0.32,7.00,"Chualar",4,"Low",5,312,"alluvial fans, terraces",237,3,"e",2,"e",455568,"CbB","Chualar loam, 2 to 5 percent slopes","Well drained",4.25
2.5,0.17,40,0.32,7.00,"Chualar",7,"Medium",5,312,"alluvial fans, terraces",237,3,"e",2,"e",455569,"CbC","Chualar loam, 5 to 9 percent slopes","Well drained",4.25
0.75,0.10,28,0.15,6.70,"Cieneba",53,"Medium",2,685,"mountains",237,7,"e",,,455570,"CcG","Cieneba fine gravelly sandy loam, 30 to 75 percent slopes","Somewhat excessively drained",2.50
0.75,0.10,28,0.15,6.50,"Cieneba",68,"Medium",2,685,"mountains",237,7,"e",,,455572,"Ce","Cieneba-Sur-Rock outcrop complex","Somewhat excessively drained",2.31
1.5,0.08,25,0.05,6.50,"Sur",68,"Medium",2,,"mountains",,7,"e",,,455572,"Ce","Cieneba-Sur-Rock outcrop complex","Somewhat excessively drained",2.31
1.5,0.14,41,0.2,7.50,"Climara",23,"Very high",3,533,"hills, uplands",225,6,"e",,,455575,"ChE","Climara clay, 15 to 30 percent slopes","Well drained",3.50
1.5,0.14,41,0.2,7.50,"Climara",40,"Very high",3,533,"hills, uplands",225,7,"e",,,455577,"Ck","Climara-Montara complex","Well drained",3.88
2,0.19,35,0.17,7.50,"Montara",53,"Very high",1,,"hills",,7,"e",,,455577,"Ck","Climara-Montara complex","Well drained",3.88
0.050000001,0.04,,,6.50,"Coastal beaches",3,"Very low",5,,"beaches",,8,,,,455578,"Cm","Coastal beaches",,1.00
2,0.15,44,0.24,7.50,"Cropley",1,"High",5,324,"alluvial fans, basins, flood plains",280,3,"s",2,"s",455579,"CnA","Cropley silty clay, 0 to 2 percent slopes","Well drained",3.75
2.5,0.16,34,0.17,7.00,"Danville",1,"High",5,243,"alluvial fans",290,3,"s",2,"s",455581,"DaA","Danville sandy clay loam, 0 to 2 percent slopes","Well drained",4.00
2.5,0.16,34,0.17,7.00,"Danville",6,"Very high",5,243,"alluvial fans",290,3,"e",2,"e",455582,"DaC","Danville sandy clay loam, 2 to 9 percent slopes","Well drained",4.00
0.75,0.12,32,0.1,6.50,"Gaviota",6,"High",1,386,"hills, uplands",210,,,,,455586,"DcC","Dibble loam, 2 to 9 percent slopes","Somewhat excessively drained",3.72
0.75,0.17,40,0.37,5.90,"Dibble",6,"Very high",4,396,"hills, uplands",210,3,"e",,,455586,"DcC","Dibble loam, 2 to 9 percent slopes","Well drained",3.72
0.75,0.17,40,0.49,5.90,"Dibble",12,"Very high",4,396,"hills, uplands",210,4,"e",,,455587,"DdB","Dibble silt loam, 9 to 15 percent slopes","Well drained",4.08
0.75,0.17,40,0.49,5.90,"Dibble",23,"Very high",4,396,"hills, uplands",210,6,"e",,,455588,"DdE","Dibble silt loam, 15 to 30 percent slopes","Well drained",4.08
0.75,0.17,40,0.49,5.90,"Dibble",40,"Very high",4,396,"hills, uplands",210,7,"e",,,455589,"DdF","Dibble silt loam, 30 to 50 percent slopes","Well drained",4.08
2,0.19,43,0.37,8.20,"Docas",1,"Medium",5,349,"alluvial fans, alluvial plains",250,3,"c",1,,455590,"DeA","Docas silty clay loam, 0 to 2 percent slopes","Well drained",4.75
2,0.19,43,0.37,8.20,"Docas",6,"High",5,349,"alluvial fans, alluvial plains",250,3,"e",2,"e",455591,"DeC","Docas silty clay loam, 2 to 9 percent slopes","Well drained",4.75
0.75,,,,,"Dune land",26,"Very low",,48,"dune fields, dunes",,8,,,,455592,"Df","Dune land","Excessively drained",
2.5,0.17,34,0.37,6.70,"Elder",6,"Medium",3,232,"alluvial fans, valleys",262,3,"e",2,"e",455595,"EbC","Elder very fine sandy loam, 2 to 9 percent slopes","Well drained",4.25
2.5,0.14,39,0.37,6.70,"Elder",1,"Low",4,232,"alluvial fans, alluvial plains",262,3,"s",2,"s",455596,"EcA","Elder loam, gravelly substratum, 0 to 2 percent slopes","Well drained",3.50
4,0.13,38,0.2,6.50,"Elkhorn",4,"Low",5,125,"terraces",265,3,"e",2,"e",455597,"EdB","Elkhorn fine sandy loam, 2 to 5 percent slopes","Well drained",3.25
4,0.13,38,0.2,6.50,"Elkhorn",7,"Medium",5,125,"terraces",265,3,"e",2,"e",455598,"EdC","Elkhorn fine sandy loam, 5 to 9 percent slopes","Well drained",3.25
4,0.13,38,0.2,6.50,"Elkhorn",12,"Medium",5,125,"terraces",265,4,"e",3,"e",455599,"EdD","Elkhorn fine sandy loam, 9 to 15 percent slopes","Well drained",3.25
2,0.15,39,0.32,6.30,"Elkhorn",10,"Very high",2,125,"terraces",265,4,"e",3,"e",455600,"EeD","Elkhorn fine sandy loam, thin surface variant, 5 to 15 percent slopes","Well drained",3.63
4,0.13,38,0.2,6.50,"Elkhorn",10,"High",5,125,"terraces",,,,,,455600,"EeD","Elkhorn fine sandy loam, thin surface variant, 5 to 15 percent slopes","Well drained",3.63
2,0.15,39,0.32,6.30,"Elkhorn",23,"Very high",2,125,"terraces",265,6,"e",4,"e",455601,"EeE","Elkhorn fine sandy loam, thin surface variant, 15 to 30 percent slopes","Well drained",3.66
4,0.13,38,0.17,6.50,"Elkhorn",23,"High",5,125,"terraces",265,,,,,455601,"EeE","Elkhorn fine sandy loam, thin surface variant, 15 to 30 percent slopes","Well drained",3.66
