"om_r","awc_r","wsatiated_r","kwfact","ph1to1h2o_r","compname","slope_r","runoff","tfact","elev_r","geomdesc","ffd_r","nirrcapcl","nirrcapscl","irrcapcl","irrcapscl","mukey","musym","muname","drainagecl","aws025wta"
2,0.15,39,0.32,6.30,"Elkhorn",23,"High",3,125,"terraces",265,,,,,455601,"EeE","Elkhorn fine sandy loam, thin surface variant, 15 to 30 percent slopes","Well drained",3.66
0.75,0.05,17,0.02,7.00,"Fluvents",8,"Low",5,,"flood plains",,7,"s",,,455602,"Fa","Fluvents, stony","Somewhat excessively drained",1.25
1.5,0.08,25,0.05,6.50,"Sur",75,"Medium",2,,"mountains, uplands",,8,,,,455603,"Ga","Gamboa-Sur complex","Somewhat excessively drained",2.02
5.5,0.13,30,0.05,6.20,"Junpero",75,,3,,"mountains, uplands",,8,,,,455603,"Ga","Gamboa-Sur complex","Well drained",2.02
3,0.06,23,0.05,6.70,"Gamboa",75,"Low",3,533,"mountains, uplands",250,8,,,,455603,"Ga","Gamboa-Sur complex","Somewhat excessively drained",2.02
0.800000012,0.12,38,0.32,5.80,"Garey",6,"Medium",5,198,"terraces",260,3,"e",2,"e",455604,"GbC","Garey sandy loam, 2 to 9 percent slopes","Well drained",3.00
0.800000012,0.12,38,0.32,5.80,"Garey",20,"High",5,198,"terraces",260,6,"e",,,455605,"GbE","Garey sandy loam, 9 to 30 percent slopes","Well drained",3.00
0.800000012,0.12,38,0.32,5.80,"Garey",40,"High",5,198,"terraces",260,7,"e",,,455606,"GbF2","Garey sandy loam, 30 to 50 percent slopes, eroded","Well drained",3.00
0.800000012,0.12,38,0.32,5.80,"Garey",33,"High",5,198,"terraces",260,7,"e",,,455607,"Gc","Garey-Oceano complex","Well drained",2.56
1,0.07,35,0.24,6.50,"Oceano",33,"Low",5,,"terraces",,7,"e",,,455607,"Gc","Garey-Oceano complex","Excessively drained",2.56
0.75,0.12,32,0.15,6.50,"Gaviota",28,"Medium",1,640,"hills, uplands",262,6,"e",,,455610,"GeE","Gaviota-San Andreas complex, 15 to 30 percent slopes","Somewhat excessively drained",3.23
2.5,0.14,34,0.2,6.70,"San Andreas",20,"Medium",3,,"hills, uplands",,6,"e",,,455610,"GeE","Gaviota-San Andreas complex, 15 to 30 percent slopes","Well drained",3.23
2.5,0.14,34,0.2,6.70,"San Andreas",45,"Medium",3,,"mountains, uplands",,7,"e",,,455611,"GeG","Gaviota-San Andreas complex, 30 to 75 percent slopes","Well drained",3.25
0.75,0.12,32,0.15,6.50,"Gaviota",58,"Medium",1,640,"mountains, uplands",262,7,"e",,,455611,"GeG","Gaviota-San Andreas complex, 30 to 75 percent slopes","Somewhat excessively drained",3.25
3,0.19,29,0.17,6.50,"Gazos",23,"High",2,617,"hills, uplands",275,6,"e",,,455612,"GfE","Gazos silt loam, 15 to 30 percent slopes","Well drained",4.75
3,0.19,30,0.2,6.50,"Gazos",40,"High",2,763,"hills, uplands",260,7,"e",,,455613,"GfF","Gazos silt loam, 30 to 50 percent slopes","Well drained",4.75
4,0.13,31,0.15,6.70,"Gilroy",33,"High",2,458,"hills, uplands",250,6,"e",,,455615,"GgE","Gilroy gravelly loam, 15 to 50 percent slopes","Well drained",3.25
4,0.13,31,0.15,6.70,"Gilroy",53,"High",2,458,"hills, uplands",250,7,"e",,,455616,"GgG2","Gilroy gravelly loam, 30 to 75 percent slopes, eroded","Well drained",3.25
1.25,0.19,36,0.32,6.20,"Gloria",6,"Very high",2,320,"terraces, valleys",255,3,"e",3,"e",455617,"GhC","Gloria sandy loam, 2 to 9 percent slopes","Well drained",4.75
1.25,0.19,36,0.32,6.20,"Gloria",12,"Very high",2,320,"terraces, valleys",255,4,"e",,,455618,"GhD","Gloria sandy loam, 9 to 15 percent slopes","Well drained",4.75
1.25,0.19,36,0.32,6.20,"Gloria",33,"Very high",2,320,"terraces, valleys",255,6,"e",,,455619,"GhF","Gloria sandy loam, 15 to 50 percent slopes","Well drained",4.75
2,0.08,27,0.1,7.30,"Arroyo Seco",3,,5,,"alluvial fans",280,,,,,455620,"GkB","Gorgonio sandy loam, 0 to 5 percent slopes","Well drained",2.82
2,0.12,29,0.1,6.50,"Gorgonio",3,"Negligible",5,460,"alluvial fans",280,3,"e",3,"s",455620,"GkB","Gorgonio sandy loam, 0 to 5 percent slopes","Somewhat excessively drained",2.82
0.75,0.13,32,0.32,7.00,"Greenfield",4,"Low",5,548,"alluvial fans, terraces, valleys",262,3,"e",2,"e",455621,"GmB","Greenfield fine sandy loam, 2 to 5 percent slopes","Well drained",3.25
0.75,0.13,33,0.32,7.00,"Greenfield",7,"Low",5,548,"alluvial fans, terraces, valleys",262,3,"e",2,"e",455622,"GmC","Greenfield fine sandy loam, 5 to 9 percent slopes","Well drained",3.25
0.75,0.13,32,0.32,7.00,"Greenfield",12,"Low",5,548,"terraces, valleys",262,4,"e",3,"e",455623,"GmD","Greenfield fine sandy loam, 9 to 15 percent slopes","Well drained",3.25
2,0.18,35,0.37,6.50,"Haire",23,"Very high",3,368,"hills, uplands",250,6,"e",,,455624,"HaE","Haire loam, 15 to 30 percent slopes","Moderately well drained",4.50
0.75,0.11,29,0.1,7.00,"Hanford",3,"Very low",5,556,"alluvial fans, flood plains, valleys",,3,"e",2,"s",455625,"HbB","Hanford gravelly sandy loam, 0 to 5 percent slopes","Well drained",2.75
3,0.13,23,0.05,7.00,"Henneke",45,"Very high",1,685,"hills, uplands",242,7,"e",,,455626,"HcF","Henneke extremely stony clay loam, 15 to 75 percent slopes","Excessively drained",3.25
5.5,0.13,30,0.05,6.20,"Junipero",40,"Medium",3,883,"mountains, mountains",145,6,"e",,,455627,"JaF","Junipero loamy sand, 30 to 50 percent slopes","Well drained",3.25
5.5,0.13,31,0.1,6.20,"Junipero",53,"Medium",3,883,"mountains, mountains",145,7,"e",,,455628,"JbG","Junipero sandy loam, 30 to 75 percent slopes","Well drained",3.25
1.5,0.08,25,0.05,6.50,"Sur",68,"Medium",2,,"mountains, mountains",,8,,,,455629,"Jc","Junipero-Sur complex","Somewhat excessively drained",2.63
5.5,0.13,31,0.1,6.20,"Junipero",68,"Medium",3,883,"mountains, mountains",145,8,,,,455629,"Jc","Junipero-Sur complex","Well drained",2.63
3.5,0.19,41,0.28,8.20,"Linne",10,"High",3,350,"hills, uplands",265,3,"e",3,"e",455630,"LaD","Linne silty clay loam 5 to 15 percent slopes","Well drained",4.75
3.5,0.19,41,0.28,8.20,"Linne",23,"Very high",3,350,"hills, uplands",265,6,"e",4,"e",455631,"LaE","Linne silty clay loam, 15 to 30 percent slopes","Well drained",4.75
3.5,0.19,41,0.28,8.20,"Linne",40,"Very high",3,350,"hills, uplands",265,7,"e",,,455632,"LaF","Linne silty clay loam, 30 to 50 percent slopes","Well drained",4.75
2.5,0.17,47,0.2,7.30,"Diablo",23,"Very high",4,,"hills, uplands",,6,"e",4,"e",455634,"LbE","Linne-Diablo complex, 15 to 30 percent slopes","Well drained",4.52
3.5,0.19,41,0.28,8.20,"Linne",23,"Very high",3,350,"hills, uplands",265,6,"e",4,"e",455634,"LbE","Linne-Diablo complex, 15 to 30 percent slopes","Well drained",4.52
3.5,0.19,41,0.28,8.20,"Linne",23,"Very high",3,350,"hills, uplands",265,6,"e",4,"e",455635,"LcE","Linne-Shedd silty clay loams, 15 to 30 percent slopes","Well drained",4.86
3,0.20,52,0.32,8.20,"Shedd",23,"Very high",3,,"hills, uplands",,6,"e",,,455635,"LcE","Linne-Shedd silty clay loams, 15 to 30 percent slopes","Well drained",4.86
3,0.20,52,0.32,8.20,"Shedd",40,"Very high",3,,"hills, uplands",,6,"e",,,455636,"LcF","Linne-Shedd silty clay loams, 30 to 50 percent slopes","Well drained",4.85
3.5,0.19,41,0.28,8.20,"Linne",40,"Very high",3,350,"hills, uplands",265,6,"e",,,455636,"LcF","Linne-Shedd silty clay loams, 30 to 50 percent slopes","Well drained",4.85
3,0.20,52,0.37,8.20,"Shedd",33,"Very high",3,,"hills, uplands",,6,"e",,,455637,"LcF2","Linne-Shedd silty clay loams, 15 to 50 percent slopes, eroded","Well drained",4.88
3.5,0.19,41,0.28,8.20,"Linne",33,"Very high",3,350,"hills, uplands",265,6,"e",,,455637,"LcF2","Linne-Shedd silty clay loams, 15 to 50 percent slopes, eroded","Well drained",4.88
3,0.20,51,0.37,8.20,"Shedd",63,"Very high",3,,"hills, uplands",,7,"e",,,455638,"LcG2","Linne-Shedd silty clay loams, 50 to 75 percent slopes, eroded","Well drained",4.85
3.5,0.19,41,0.28,8.20,"Linne",63,"Very high",3,350,"hills, uplands",265,7,"e",,,455638,"LcG2","Linne-Shedd silty clay loams, 50 to 75 percent slopes, eroded","Well drained",4.85
3.5,0.18,45,0.32,6.50,"Lockwood",1,"Medium",5,320,"alluvial fans, terraces",330,3,"c",1,,455639,"LdA","Lockwood loam, 0 to 2 percent slopes","Well drained",4.50
3.5,0.18,45,0.32,6.50,"Lockwood",6,"High",5,320,"alluvial fans, terraces",330,3,"e",2,"e",455640,"LdC","Lockwood loam, 2 to 9 percent slopes","Well drained",4.50
3.5,0.14,37,0.15,6.50,"Lockwood",12,"Medium",5,320,"alluvial fans, terraces",330,3,"e",,,455643,"LeD","Lockwood shaly loam, 9 to 15 percent slopes","Well drained",3.50
3.5,0.13,38,0.15,6.50,"Lockwood",1,"Low",5,320,"alluvial fans, valleys",330,3,"w",2,"w",455644,"LgA","Lockwood shaly loam, 0 to 2 percent slopes, wet","Well drained",3.25
6,0.12,22,0.1,5.60,"Lopez",23,"High",1,553,"hills, uplands",250,7,"e",,,455645,"LhE","Lopez shaly loam, 15 to 30 percent slopes","Somewhat excessively drained",2.70
2.5,0.15,32,0.15,6.10,"Los Gatos",63,"High",2,320,"hills, uplands",265,7,"e",,,455647,"LkG","Los Gatos gravelly loam, 50 to 75 percent slopes","Well drained",3.75
3,0.19,39,0.28,6.70,"Los Osos",12,"Very high",3,548,"hills, uplands",260,3,"e",,,455648,"LmD","Los Osos clay loam, 9 to 15 percent slopes","Well drained",4.75
3,0.19,39,0.28,6.70,"Los Osos",53,"Very high",3,548,"hills, mountains, uplands",260,7,"e",,,455652,"Ln","Los Osos-Millsholm complex","Well drained",4.75
2,0.19,38,0.28,6.50,"Millsholm",53,"High",1,,"hills, mountains, uplands",,7,"e",,,455652,"Ln","Los Osos-Millsholm complex","Well drained",4.75
2.5,0.19,40,0.32,7.00,"McCoy",23,"Very high",3,503,"hills, uplands",250,4,"e",,,455654,"MaE","McCoy clay loam, 15 to 30 percent slopes","Well drained",4.75
2.5,0.19,40,0.32,7.00,"McCoy",40,"Very high",3,503,"hills, uplands",250,6,"e",,,455655,"MaF","McCoy clay loam, 30 to 50 percent slopes","Well drained",4.75
2.5,0.19,40,0.32,7.00,"McCoy",63,"Very high",3,503,"hills, uplands",250,7,"e",,,455656,"MaG","McCoy clay loam, 50 to 75 percent slopes","Well drained",4.75
4,0.13,31,0.15,6.70,"Gilroy",23,"High",2,,"hills",,4,"e",,,455657,"MbE","McCoy-Gilroy complex, 15 to 30 percent slopes","Well drained",4.15
2.5,0.19,40,0.32,7.00,"McCoy",23,"Very high",3,503,"hills, uplands",250,4,"e",,,455657,"MbE","McCoy-Gilroy complex, 15 to 30 percent slopes","Well drained",4.15
4,0.13,31,0.15,6.70,"Gilroy",53,"High",2,,"hills, uplands",,7,"e",,,455658,"MbG","McCoy-Gilroy complex, 30 to 75 percent slopes","Well drained",4.13
2.5,0.19,40,0.32,7.00,"McCoy",53,"Very high",3,503,"hills, uplands",250,7,"e",,,455658,"MbG","McCoy-Gilroy complex, 30 to 75 percent slopes","Well drained",4.13
2.5,0.13,28,0.15,6.70,"McCoy",53,"Very high",3,503,"hills, uplands",250,7,"e",,,455659,"McG","McCoy gravelly loam, very stony subsoil variant, 30 to 75 percent slopes","Well drained",3.25
2.5,0.08,20,0.1,6.50,"Plaskett",53,"Medium",1,,"mountains, mountains",,7,"e",,,455660,"Md","McMullin-Plaskett complex","Excessively drained",2.73
2,0.13,32,0.17,6.10,"McMullin",53,"High",1,731,"hills, mountains",252,7,"e",,,455660,"Md","McMullin-Plaskett complex","Somewhat excessively drained",2.73
0.75,0.09,39,0.28,7.50,"Metz",1,"Low",5,385,"flood plains",257,3,"s",2,"s",455661,"Me","Metz loamy sand","Somewhat excessively drained",2.25
0.75,0.15,39,0.37,7.50,"Metz",1,"Low",5,385,"flood plains",257,3,"s",2,"s",455662,"Mf","Metz fine sandy loam","Somewhat excessively drained",3.75
0.75,0.09,39,0.28,7.50,"Metz",6,"Medium",5,385,"flood plains",257,4,"e",,,455663,"Mg","Metz complex","Somewhat excessively drained",3.00
0.75,0.15,39,0.32,7.50,"Metz",6,"Medium",5,,"flood plains",,3,"e",2,"e",455663,"Mg","Metz complex","Somewhat excessively drained",3.00
2,0.16,45,0.24,7.30,"Alo",63,"Very high",3,,"hills, uplands",,7,"e",,,455665,"Mk","Millsholm-Alo association","Well drained",4.50
2,0.19,38,0.32,6.50,"Millsholm",63,"High",1,591,"hills, uplands",230,7,"e",,,455665,"Mk","Millsholm-Alo association","Well drained",4.50
3,0.19,29,0.17,6.50,"Gazos",53,"High",2,,"hills, uplands",,7,"e",,,455666,"Mm","Millsholm-Gazos complex","Well drained",4.75
2,0.19,38,0.32,6.50,"Millsholm",53,"High",1,591,"hills, uplands",230,7,"e",,,455666,"Mm","Millsholm-Gazos complex","Well drained",4.75
3,0.20,40,0.32,7.90,"Mocho",6,"High",5,536,"alluvial fans",275,3,"e",2,"e",455669,"MoC","Mocho silty clay loam, 2 to 9 percent slopes","Well drained",5.00
2,0.19,36,0.2,7.50,"Montara",45,"Very high",1,472,"hills, mountains, uplands",225,7,"e",,,455670,"Mp","Montara-Rock outcrop complex","Well drained",4.75
,,,,,"Rock outcrop",45,,,,"hills, mountains",,8,,,,455670,"Mp","Montara-Rock outcrop complex",,4.75
3.5,0.18,41,0.24,8.20,"Nacimiento",12,"High",3,739,"hills, uplands",225,3,"e",,,455671,"NaD","Nacimiento silty clay loam, 9 to 15 percent slopes","Well drained",4.50
2,0.10,30,0.28,5.80,"Narlon",6,"Very high",3,125,"marine terraces",300,4,"e",,,455677,"NcC","Narlon loamy fine sand, 2 to 9 percent slopes","Somewhat poorly drained",2.50
2,0.10,30,0.28,5.80,"Narlon",23,"Very high",3,125,"hills",300,6,"e",,,455678,"NcE","Narlon loamy fine sand, 15 to 30 percent slopes","Somewhat poorly drained",2.50
1,0.07,35,0.24,5.80,"Oceano",9,"Very low",5,171,"hills, hills",275,6,"e",4,"e",455679,"OaD","Oceano loamy sand, 2 to 15 percent slopes","Excessively drained",1.75
3,0.19,41,0.32,7.30,"Pacheco",1,"Medium",5,62,"flood plains",335,3,"w",,,455683,"Pb","Pacheco silty clay loam, occasionally flooded","Somewhat poorly drained",4.75
2,0.17,35,0.24,6.50,"Parkfield",6,"Very high",3,457,"terraces",250,3,"e",3,"e",455684,"PcC","Parkfield clay, 2 to 9 percent slopes","Well drained",4.25
2,0.17,35,0.24,6.50,"Parkfield",23,"Very high",3,457,"terraces",250,4,"e",,,455685,"PcE","Parkfield clay, 15 to 30 percent slopes","Well drained",4.25
2.5,0.14,34,0.17,6.70,"San Andreas",6,,3,,"hills, uplands",,,,,,455686,"PdC","Pfeiffer fine sandy loam, 2 to 9 percent slopes","Well drained",3.13
2,0.14,36,0.2,6.70,"Pfeiffer",6,"Low",5,472,"hills, uplands",260,3,"e",,,455686,"PdC","Pfeiffer fine sandy loam, 2 to 9 percent slopes","Well drained",3.13
2,0.14,37,0.17,6.70,"Pfeiffer",12,"Low",5,472,"hills, uplands",260,4,"e",,,455687,"PdD","Pfeiffer fine sandy loam, 9 to 15 percent slopes","Well drained",3.16
2.5,0.14,35,0.2,6.70,"San Andreas",12,"Medium",3,,"hills, hills",,,,,,455687,"PdD","Pfeiffer fine sandy loam, 9 to 15 percent slopes","Well drained",3.16
2,0.14,36,0.1,6.70,"Pfeiffer",68,"Medium",5,472,"mountains, uplands",260,7,"e",,,455688,"Pe","Pfeiffer-Rock outcrop complex","Well drained",3.00
,,,,,"Rock outcrop",68,,,,"mountains",,8,,,,455688,"Pe","Pfeiffer-Rock outcrop complex",,3.00
0.75,0.15,39,0.32,7.50,"Metz",1,,5,,"flood plains",,,,,,455689,"Pf","Pico fine sandy loam","Somewhat excessively drained",3.54
2.5,0.14,35,0.24,8.20,"Pico",1,"Very low",5,230,"flood plains",250,3,"c",1,,455689,"Pf","Pico fine sandy loam","Well drained",3.54
0.75,0.10,34,0.24,6.30,"Pinnacles",18,"High",3,609,"uplands, terraces",190,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
0.75,0.10,34,0.24,6.30,"Pinnacles",53,"Very high",3,609,"terraces, uplands",190,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
4,0.13,31,0.15,6.70,"Gilroy",33,"High",2,458,"hills, uplands",250,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
3.5,0.19,41,0.32,8.20,"Linne",23,"Very high",3,350,"hills, uplands",265,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
2.5,0.19,40,0.32,7.00,"McCoy",23,"Very high",3,503,"hills, uplands",250,4,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
0.75,0.12,29,0.2,8.20,"San Timoteo",18,"High",3,579,"hills, uplands",275,4,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
3,0.20,52,0.37,8.20,"Shedd",23,"Very high",3,411,"hills, uplands",250,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
0.75,0.12,37,0.17,6.50,"Vista",23,"Medium",3,652,"hills, uplands",265,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
0.75,0.13,37,0.32,7.30,"Xerorthents",33,"Medium",5,307,"alluvial fans, fan piedmonts, terraces",,6,"e",,,455690,"PgE","Pinnacles coarse sandy loam, 5 to 30 percent slopes","Well drained",2.52
0.75,0.10,28,0.15,6.30,"Pinnacles",53,"Very high",3,609,"uplands, terraces",240,7,"e",,,455691,"PhG2","Pinnacles stony sandy loam, 30 to 75 percent slopes, eroded","Well drained",2.94
4,0.13,31,0.15,6.70,"Gilroy",53,"High",2,458,"hills, uplands",250,7,"e",,,455691,"PhG2","Pinnacles stony sandy loam, 30 to 75 percent slopes, eroded","Well drained",2.94
2.5,0.19,40,0.32,7.00,"McCoy",53,"Very high",3,503,"hills, uplands",250,7,"e",,,455691,"PhG2","Pinnacles stony sandy loam, 30 to 75 percent slopes, eroded","Well drained",2.94
0.75,0.12,37,0.17,6.50,"Vista",53,"Medium",3,652,"hills, uplands",265,7,"e",,,455691,"PhG2","Pinnacles stony sandy loam, 30 to 75 percent slopes, eroded","Well drained",2.94
0.75,0.10,34,0.24,6.30,"Pinnacles",18,"Very high",3,609,"terraces, uplands",190,6,"e",,,455691,"PhG2","Pinnacles stony sandy loam, 30 to 75 percent slopes, eroded","Well drained",2.94
1.25,0.09,29,0.1,5.80,"Pinnacles",18,"High",3,609,"terraces",240,6,"e",,,455692,"PkE","Pinnacles coarse sandy loam, very gravelly subsoil variant, 5 to 30 percent slopes","Well drained",2.25
1.25,0.09,29,0.1,5.80,"Pinnacles",40,"High",3,609,"terraces",240,7,"e",,,455693,"PkF","Pinnacles coarse sandy loam, very gravelly subsoil variant, 30 to 50 percent slopes","Well drained",2.25
1.25,0.18,34,0.32,6.70,"Placentia",12,"Very high",3,388,"terraces",275,4,"e",4,"e",455697,"PnD","Placentia sandy loam, 9 to 15 percent slopes","Well drained",4.50
1.25,0.18,34,0.32,6.70,"Placentia",23,"Very high",3,388,"terraces",275,6,"e",,,455698,"PnE","Placentia sandy loam, 15 to 30 percent slopes","Well drained",4.50
1.25,0.18,34,0.32,6.70,"Placentia",23,"Very high",3,388,"terraces",275,6,"e",,,455699,"PoE","Placentia-Arbuckle complex, 15 to 30 percent slopes","Well drained",3.80
0.75,0.11,28,0.17,6.50,"Arbuckle",23,"Very high",5,,"terraces",,4,"e",,,455699,"PoE","Placentia-Arbuckle complex, 15 to 30 percent slopes","Well drained",3.80
0.75,0.10,32,0.1,6.20,"Reliz",53,"High",1,,"hills, mountains",,7,"e",,,455700,"Pp","Plaskett-Reliz complex","Excessively drained",2.23
2.5,0.08,20,0.1,6.50,"Plaskett",53,"Medium",1,933,"mountains, mountains",210,7,"e",,,455700,"Pp","Plaskett-Reliz complex","Excessively drained",2.23
0.75,0.04,11,,7.00,"Fluvents",3,"Very low",5,,"flood plains",,8,,,,455702,"Ps","Psamments and Fluvents, frequently flooded","Excessively drained",1.00
0.75,0.04,23,0.02,7.00,"Psamments",3,"Very low",5,,"flood plains",,6,"w",,,455702,"Ps","Psamments and Fluvents, frequently flooded","Excessively drained",1.00
6,,,,,"Xerorthents",55,,1,,"mountains, mountains",,7,"e",,,455708,"Rc","Rock outcrop-Xerorthent association","Well drained",
,,,,,"Rock outcrop",53,,,883,"mountains",325,8,,,,455708,"Rc","Rock outcrop-Xerorthent association",,
2.5,0.14,35,0.2,6.70,"San Andreas",23,"Medium",3,411,"hills, hills",275,6,"e",4,"e",455713,"ScE","San Andreas fine sandy loam, 15 to 30 percent slopes","Well drained",3.50
2.5,0.14,34,0.24,6.70,"San Andreas",53,"Medium",3,411,"hills, mountains",275,7,"e",,,455714,"ScG","San Andreas fine sandy loam, 30 to 75 percent slopes","Well drained",3.50
0.75,0.12,29,0.2,8.20,"San Timoteo",53,"Medium",3,579,"hills, uplands",275,7,"e",,,455717,"SeG","San Timoteo gravelly loam, 30 to 75 percent slopes","Well drained",3.00
6,0.12,23,0.05,5.80,"Santa Lucia",9,"Medium",2,472,"hills, uplands",237,4,"e",3,"e",455718,"SfD","Santa Lucia shaly clay loam, 2 to 15 percent slopes","Well drained",3.00
6,0.12,22,0.1,5.60,"Lopez",53,"High",1,,"hills",,7,"e",,,455721,"Sg","Santa Lucia-Reliz association","Somewhat excessively drained",2.77
0.75,0.10,32,0.15,6.20,"Reliz",53,"High",1,,"hills, uplands",,7,"e",,,455721,"Sg","Santa Lucia-Reliz association","Excessively drained",2.77
6,0.12,23,0.05,5.80,"Santa Lucia",53,"High",2,472,"hills, uplands",237,7,"e",,,455721,"Sg","Santa Lucia-Reliz association","Well drained",2.77
3.5,0.13,32,0.32,6.50,"Santa Ynez",6,"Very high",3,,"terraces",,,,,,455722,"ShC","Santa Ynez fine sandy loam, 2 to 9 percent slopes","Moderately well drained",3.25
3.5,0.13,25,0.15,6.50,"Santa Ynez",6,"Very high",3,186,"terraces",275,3,"e",3,"e",455722,"ShC","Santa Ynez fine sandy loam, 2 to 9 percent slopes","Moderately well drained",3.25
2.5,0.17,47,0.2,7.30,"Diablo",12,,3,,"hills, hills",,,,,,455723,"ShD","Santa Ynez fine sandy loam, 9 to 15 percent slopes","Well drained",3.58
3.5,0.13,32,0.32,6.50,"Santa Ynez",12,"Very high",3,186,"hills, terraces",275,4,"e",4,"e",455723,"ShD","Santa Ynez fine sandy loam, 9 to 15 percent slopes","Moderately well drained",3.58
3.5,0.13,32,0.32,6.50,"Santa Ynez",10,"Very high",3,186,"hills, terraces",275,4,"e",4,"e",455724,"ShD2","Santa Ynez fine sandy loam, 5 to 15 percent slopes, eroded","Moderately well drained",3.25
2.5,0.14,34,0.2,6.70,"San Andreas",23,,3,,"hills",,,,,,455725,"ShE","Santa Ynez fine sandy loam, 15 to 30 percent slopes","Well drained",3.29
3.5,0.13,32,0.28,6.50,"Santa Ynez",23,,3,,"terraces",,,,,,455725,"ShE","Santa Ynez fine sandy loam, 15 to 30 percent slopes","Moderately well drained",3.29
3.5,0.13,32,0.32,6.50,"Santa Ynez",23,"Very high",3,186,"hills, terraces",275,6,"e",,,455725,"ShE","Santa Ynez fine sandy loam, 15 to 30 percent slopes","Moderately well drained",3.29
3,0.18,52,0.37,8.20,"Shedd",53,"High",3,411,"hills, uplands",250,7,"e",,,455726,"SmG3","Shedd silt loam, 30 to 75 percent slopes, severely eroded","Well drained",4.50
3,0.20,52,0.37,8.20,"Shedd",12,"High",3,411,"hills, uplands",250,4,"e",,,455727,"SnD","Shedd silty clay loam, 9 to 15 percent slopes","Well drained",5.00
3,0.20,52,0.37,8.20,"Shedd",40,"Very high",3,411,"hills, uplands",250,6,"e",,,455729,"SnF2","Shedd silty clay loam, 30 to 50 percent slopes, eroded","Well drained",5.00
3,0.12,34,0.17,6.50,"Sheridan",10,"Low",3,609,"hills, hills",210,4,"e",,,455730,"SoD","Sheridan coarse sandy loam, 5 to 15 percent slopes","Well drained",3.00
3,0.12,34,0.17,6.50,"Sheridan",53,"Medium",3,609,"hills, hills, mountains, mountains",210,7,"e",,,455732,"SoG","Sheridan coarse sandy loam, 30 to 75 percent slopes","Well drained",3.00
0.75,0.13,32,0.28,7.00,"Greenfield",10,"Low",5,,"alluvial fans, terraces",,3,"e",3,"e",455733,"SpD","Snelling-Greenfield complex, 5 to 15 percent slopes","Well drained",3.11
0.75,0.12,31,0.28,6.70,"Snelling",10,"High",5,328,"alluvial fans, terraces",205,3,"e",,,455733,"SpD","Snelling-Greenfield complex, 5 to 15 percent slopes","Well drained",3.11
0.75,0.12,31,0.24,6.70,"Snelling",20,"Very high",5,,"alluvial fans, terraces",,4,"e",,,455734,"SpE2","Snelling-Greenfield complex, 9 to 30 percent slopes, eroded","Well drained",3.13
0.75,0.13,32,0.32,7.00,"Greenfield",20,"Medium",5,328,"alluvial fans, terraces",250,4,"e",,,455734,"SpE2","Snelling-Greenfield complex, 9 to 30 percent slopes, eroded","Well drained",3.13
5.5,0.13,31,0.1,6.20,"Junipero",68,"Medium",3,,"mountains, mountains",,7,"e",,,455737,"Ss","Sur-Junipero complex","Well drained",2.31
1.5,0.08,25,0.05,6.50,"Sur",68,"Medium",2,1066,"mountains, mountains",200,7,"e",,,455737,"Ss","Sur-Junipero complex","Somewhat excessively drained",2.31
1.5,0.08,25,0.05,6.50,"Sur",63,"Medium",2,1066,"mountains, mountains",200,7,"e",,,455738,"St","Sur-Plaskett complex","Somewhat excessively drained",2.00
2.5,0.08,20,0.1,6.50,"Plaskett",63,"Medium",1,,"mountains, mountains",,7,"e",,,455738,"St","Sur-Plaskett complex","Excessively drained",2.00
